OBJECTID,YEAR_,STATE,FIRE_NAME,GIS_ACRES,SHAPE_Length,SHAPE_Area,,,,,,,,,
21621,2020,CA,SKYLINE 3,79.95433,4983.22669,458460.9301,,,,,,,,,
21622,2020,CA,WILLOWS,58.151138,4342.902697,333622.3386,,,,,,,,,
21623,2020,CA,BORDER 11,59.769276,4060.841304,341525.9388,,,,,,,,,
21624,2020,CA,AIRPORT,1085.7001,21111.07575,6394320.592,,,,,,,,,
21626,2020,CA,CASINO,91.579002,3965.862754,534893.1911,,,,,,,,,
21627,2020,CA,INDIAN,59.731518,3773.599352,349042.7631,,,,,,,,,
21628,2020,CA,SANDERSON,1954.6515,19690.78285,11511422.76,,,,,,,,,
21629,2020,CA,SIERRA,39.050262,6088.606313,229655.7005,,,,,,,,,
21630,2020,CA,SKYLINE,47.932137,3076.177951,281870.6881,,,,,,,,,
21632,2020,CA,WATER,36.020378,3032.668537,212564.4755,,,,,,,,,
21633,2020,CA,EQUESTRIAN,83.618767,3815.298252,499137.7246,,,,,,,,,
21635,2020,CA,SOLEDAD,1525.5355,23117.55826,9101965.337,,,,,,,,,
21636,2020,CA,RIDGE,320.83929,12353.96593,1928676.703,,,,,,,,,
21637,2020,CA,CASTAIC,178.31157,6079.351514,1066001.352,,,,,,,,,
21639,2020,CA,WEST,46.837574,2371.90874,281528.8587,,,,,,,,,
21640,2020,CA,3 POINTS,11.786088,1043.062499,70801.62416,,,,,,,,,
21641,2020,CA,BOBCAT,115997.98,433313.0739,690091830.3,,,,,,,,,
21643,2020,CA,JOHNSON,291.94925,7290.871992,1750755.322,,,,,,,,,
21644,2020,CA,QUAIL,12.858473,1617.638377,77284.2189,,,,,,,,,
21645,2020,CA,RAYBURN,12.390582,1417.429551,74128.74636,,,,,,,,,
21646,2020,CA,ACTON,13.841054,1485.448423,82643.69591,,,,,,,,,
21647,2020,CA,SAN DIMAS,128.17082,3681.258025,759180.5609,,,,,,,,,
21648,2020,CA,AIRLINE,62.407829,5360.407905,388882.1122,,,,,,,,,
21649,2020,CA,HILL,139.1295,4013.696165,934300.1632,,,,,,,,,
21650,2020,CA,BRIM,21.924601,2296.01739,147766.6758,,,,,,,,,
21651,2020,CA,SITES,569.51337,8133.105361,3854750.732,,,,,,,,,
21652,2020,CA,POPE,64.28315,3286.326297,426249.7696,,,,,,,,,
21653,2020,CA,LYONS,25.58551,2419.233863,172188.1162,,,,,,,,,
21654,2020,CA,SALT,86.66375,4835.896323,576695.603,,,,,,,,,
21655,2020,CA,CATHOLIC,22.234919,1451.68021,149261.9543,,,,,,,,,
21656,2020,CA,URSULINE,11.931836,1614.569736,78948.84635,,,,,,,,,
21657,2020,CA,SIERRA,17.904806,1821.154772,117854.627,,,,,,,,,
21658,2020,CA,STAGE,26.567816,2879.021708,174493.5022,,,,,,,,,
21659,2020,CA,INDIAN,20.427343,2058.552387,137415.9471,,,,,,,,,
21660,2020,CA,KIRKLAND,21.10397,1836.36067,138551.0896,,,,,,,,,
21661,2020,CA,PARISH,57.631348,3209.251361,377416.7147,,,,,,,,,
21662,2020,CA,CACHE,44.797752,2862.177473,298307.8407,,,,,,,,,
21663,2020,CA,MOUNTAIN,28.201857,2577.978049,185579.5646,,,,,,,,,
21664,2020,CA,MEYERS,2360.2515,22388.50201,15621426.32,,,,,,,,,
21665,2020,CA,WALBRIDGE,55208.938,157572.9083,366514226.5,,,,,,,,,
21666,2020,CA,HENNESSEY,305351.88,1008834.884,2027266568,,,,,,,,,
21667,2020,CA,GLASS,67484.406,272074.1735,447043238.8,,,,,,,,,
21668,2020,CA,QUAIL,1840.9998,16855.23955,12174059.33,,,,,,,,,
21669,2020,CA,LAKEVILLE,159.68047,4456.877916,1048803.68,,,,,,,,,
21670,2020,CA,DUNFIELD,21.912743,1856.856932,150780.4987,,,,,,,,,
21671,2020,CA,SPANISH,17.294407,1342.050066,115108.808,,,,,,,,,
21672,2020,CA,DEVILS GULCH,16.945185,2153.502821,110702.9906,,,,,,,,,
21673,2020,CA,INDIA,959.2821,15945.70344,5579077.515,,,,,,,,,
21674,2020,CA,IRIS,124.99827,10749.2027,805416.4064,,,,,,,,,
21675,2020,CA,DALTON ,1367.0784,23649.39721,9939544.861,,,,,,,,,
21676,2020,CA,ALLEN,1034.7949,19543.30775,7439245.478,,,,,,,,,
21677,2020,CA,BEACH,3668.429,33018.52124,23903367.51,,,,,,,,,
21678,2020,CA,LOYALTON,46720.91,132036.5505,319860110.4,,,,,,,,,
21679,2020,CA,SHEEP,29541.139,123134.8698,205912404.5,,,,,,,,,
21680,2020,CA,DOLAN,124527.38,255261.3971,772950527.9,,,,,,,,,
21681,2020,CA,FOX,2027.5538,35565.75751,14524107.96,,,,,,,,,
21682,2020,CA,SHOTGUN,840.85065,23325.47131,5256307.872,,,,,,,,,
21683,2020,CA,NORTH COMPLEX,318797.25,515161.1407,2183903307,,,,,,,,,
21684,2020,CA,CASTLE,170647.92,897716.7605,1063135640,,,,,,,,,
21685,2020,CA,FORK,1668.4502,27875.0338,11191288.76,,,,,,,,,
21686,2020,CA,COLEMAN,562.91382,14566.24352,3497453.663,,,,,,,,,
21687,2020,CA,POINT,93.224213,5586.636446,625576.9544,,,,,,,,,
21688,2020,CA,CREEK,379842.41,1030210.522,2435747264,,,,,,,,,
21690,2020,CA,BALD,17.924097,1380.620548,127838.6547,,,,,,,,,
21691,2020,CA,BRIDGE,14.587063,1611.808419,103093.4456,,,,,,,,,
21692,2020,CA,IRON,37.90358,2710.740885,262137.0035,,,,,,,,,
21693,2020,CA,BULLFROG,654.63983,10191.63846,4175193.861,,,,,,,,,
21694,2020,CA,FLAT,62.040573,4750.319092,438504.7751,,,,,,,,,
21695,2020,CA,DEVIL,8871.9385,108856.5948,64904831.3,,,,,,,,,
21696,2020,CA,DAVIS 3,11.434861,1866.907672,78674.25487,,,,,,,,,
21697,2020,CA,SPRING,228.83437,5181.593242,1601273.643,,,,,,,,,
21698,2020,CA,PINE,11.313724,1486.618169,80661.51055,,,,,,,,,
21699,2020,CA,FEATHER,39.70483,5203.518928,271903.3851,,,,,,,,,
21700,2020,CA,MP 21,93.048401,6223.195175,665133.0296,,,,,,,,,
21702,2020,CA,GIBSON,41.670918,3394.082272,296706.3941,,,,,,,,,
21703,2020,CA,HOBO,413.52509,10122.19591,2926304.909,,,,,,,,,
21704,2020,CA,HARRIS,10.616569,1092.24649,76484.98445,,,,,,,,,
21705,2020,CA,QUARTER,11.58482,2009.123339,75798.23744,,,,,,,,,
21706,2020,CA,ADAMS,901.67279,14572.36531,6213201.722,,,,,,,,,
21707,2020,CA,SLATER,157429.86,580102.5519,1152491340,,,,,,,,,
21708,2020,CA,JONES POINT,136.59282,6422.525738,972429.7056,,,,,,,,,
21709,2020,CA,COPPER,54.708244,4405.754997,379644.0473,,,,,,,,,
21710,2020,CA,BIRD,25.048113,2078.422954,173300.6973,,,,,,,,,
21711,2020,CA,BROCK,14.988231,1875.808859,106066.8384,,,,,,,,,
21712,2020,CA,BASEBALL,215.52551,7197.504819,1477447.49,,,,,,,,,
21713,2020,CA,RIDGE,82.713013,4049.042638,511365.7985,,,,,,,,,
21714,2020,CA,BELL,44.9006,6226.611877,294576.7008,,,,,,,,,
21715,2020,CA,BROOK,183.21283,7953.742306,1088039.607,,,,,,,,,
21716,2020,CA,LAKE,30999.398,117870.1978,185934914.6,,,,,,,,,
21717,2020,CA,RANCH2,4119.2046,36629.8507,24427703.46,,,,,,,,,
21718,2020,CA,VALLEY,16389.537,112779.7882,94002680.79,,,,,,,,,
21719,2020,CA,MARTINDALE,233.34526,6201.777625,1395509.287,,,,,,,,,
21720,2020,CA,MOUNT R,61.770126,5096.232882,366166.0362,,,,,,,,,
21721,2020,CA,ADOBE,15.183578,1308.530254,89918.67208,,,,,,,,,
21722,2020,CA,KENWOOD,10.373266,996.9470816,61594.25814,,,,,,,,,
21723,2020,CA,EASTON,56.798523,4628.908899,336392.4716,,,,,,,,,
21724,2020,CA,LAGO,16.890215,1364.39909,101283.9147,,,,,,,,,
21725,2020,CA,BULL,14.089692,2031.575109,86008.0224,,,,,,,,,
21727,2020,CA,SOUTH MAIN,13.008084,1663.422066,76111.77463,,,,,,,,,
21728,2020,CA,PITMAN,39.666264,3027.958161,235298.9764,,,,,,,,,
21729,2020,CA,GIFFORD ,16.80192,2249.649291,101776.9826,,,,,,,,,
21730,2020,CA,HOG,527.48822,7973.111745,3342182.142,,,,,,,,,
21731,2020,CA,H - 8 WELL,60.990669,4679.540373,430788.1267,,,,,,,,,
21732,2020,CA,L-2 YELLOW,14.904055,1563.045152,103355.9728,,,,,,,,,
21733,2020,CA,DAM,226.36584,5915.385827,1341769.257,,,,,,,,,
21734,2020,CA,FLAT,13.647892,1682.473732,99102.47039,,,,,,,,,
21735,2020,CA,TRIMMER,593.86481,10322.53487,3765339.022,,,,,,,,,
21736,2020,CA,BAKER,47.618317,3530.698309,323691.3793,,,,,,,,,
21737,2020,CA,TRAMWAY,11.137944,2049.900304,65508.1553,,,,,,,,,
21738,2020,CA,SNOW,6253.4395,48686.07831,36805044.77,,,,,,,,,
21739,2020,CA,OAKS,16.569914,1567.898459,97329.45492,,,,,,,,,
21740,2020,CA,PUMICE ,43.026699,3403.530852,277498.1442,,,,,,,,,
21741,2020,CA,NAIL,14.590242,1577.041396,98873.7204,,,,,,,,,
21742,2020,CA,LITTLE SODA,53.089447,3858.944253,388742.5556,,,,,,,,,
21743,2020,CA,AUGUST COMPLEX,1032699.6,1695542.555,7116307899,,,,,,,,,
21744,2020,CA,STUMP,325.41235,8490.008298,2269874.875,,,,,,,,,
21745,2020,CA,HOG,9566.3604,85678.34404,66866941.22,,,,,,,,,
21746,2020,CA,ANTELOPE,101.76656,4195.576081,695930.9505,,,,,,,,,
21747,2020,CA,FISH CREEK,29.782703,2783.08918,184664.9086,,,,,,,,,
21748,2020,CA,RED SALMON COMPLEX,143836.41,464942.0179,1026602328,,,,,,,,,
21749,2020,CA,33,33.667503,3052.428607,202790.2248,,,,,,,,,
21750,2020,CA,ELSMERE,159.20567,8008.788574,947991.448,,,,,,,,,
21751,2020,CA,MESA,100.55494,4212.912794,617535.827,,,,,,,,,
21752,2020,CA,ROWHER,648.18073,17177.21978,3876623.884,,,,,,,,,
21753,2020,CA,TEXAS,209.95065,7050.448059,1253999.854,,,,,,,,,
21754,2020,CA,MURPHY,12.086473,2712.269198,79680.17195,,,,,,,,,
21755,2020,CA,BLUEJAY,6922.0137,55875.1321,44992208.05,,,,,,,,,
21756,2020,CA,CALDWELL,81224.68,236072.5003,590731985.5,,,,,,,,,
21757,2020,CA,DOME,44211.25,94295.13924,269171466.5,,,,,,,,,
21758,2020,CA,HORSE,30.192495,5326.920237,195135.9284,,,,,,,,,
21759,2020,CA,IVANPAH,1051.4855,12295.63866,6385724.915,,,,,,,,,
21760,2020,CA,MORAINE,1316.0377,15529.47741,8306597.401,,,,,,,,,
21761,2020,CA,NORTH WHIZZ DOME,199.98232,5300.896432,1301046.361,,,,,,,,,
21762,2020,CA,RATTLESNAKE,8422.8691,142312.8367,52760004.88,,,,,,,,,
21763,2020,CA,SCORPION,1320.7283,28437.06377,7802740.039,,,,,,,,,
21764,2020,CA,WOLF,2057.2961,23606.28773,13386476.64,,,,,,,,,
21765,2020,CA,WOODWARD,4901.7266,38442.99328,32017438.87,,,,,,,,,
21766,2020,CA,166,120.72024,4938.812417,728607.069,,,,,,,,,
21767,2020,CA,AURORA,238.28386,9380.459453,1567149.169,,,,,,,,,
21768,2020,CA,BACCARAT,10456.402,48876.51909,71729594.31,,,,,,,,,
21769,2020,CA,BARNES,79.417404,3394.956152,473966.162,,,,,,,,,
21770,2020,CA,BASIC,116.17775,5144.109807,702693.1927,,,,,,,,,
21771,2020,CA,ELLIOT,102.64169,5400.210928,587306.4785,,,,,,,,,
21772,2020,CA,HILL,63.227257,4078.117613,433835.0086,,,,,,,,,
21773,2020,CA,HORN,25.201666,3307.505489,178314.5223,,,,,,,,,
21774,2020,CA,LAURA 2,2729.0266,54526.19056,18876446.25,,,,,,,,,
21775,2020,CA,MOUNTAIN VIEW,20374.564,71386.55605,135042607.6,,,,,,,,,
21776,2020,CA,NADEAU,9150.4023,81985.60845,56715274.25,,,,,,,,,
21777,2020,CA,NORTH,6882.2935,55841.28808,47310873.49,,,,,,,,,
21778,2020,CA,R-1 MAPES,258.95813,10098.68736,1817475.847,,,,,,,,,
21779,2020,CA,R-3 LITTLE FREDOYNER,187.34377,6833.524495,1319820.999,,,,,,,,,
21780,2020,CA,R-2 TRUMBULL,576.66077,15222.41121,4040625.447,,,,,,,,,
21781,2020,CA,R-3 SKEDDADLE,197.50771,11419.16818,1376990.237,,,,,,,,,
21782,2020,CA,R-5 SNOWSTORM,471.72205,12670.0493,3314899.769,,,,,,,,,
