OBJECTID,YEAR_,STATE,GIS_ACRES,SHAPE_Length,SHAPE_Area
42756,2019,CA,1.8162222,689.1679795,10741.1383
42757,2019,CA,17.724728,1587.264952,104740.8569
42758,2019,CA,80.327698,3685.386744,475817.9403
42763,2019,CA,66.587181,4777.042672,405174.1231
42764,2019,CA,8799.3252,86547.40783,52335530.83
42789,2019,CA,45.094875,2935.433261,266559.28
42790,2019,CA,552.63318,21590.34895,3269037.861
42791,2019,CA,10.829712,1654.937448,64149.79324
42792,2019,CA,5.9003997,963.0710188,34952.73688
42793,2019,CA,72.634293,5393.349379,430190.9425
